TICKER;EMPRESA;CNPJ
ALMI11;FUNDO DE INVESTIMENTO IMOBILIÁRIO FII TORRE ALMIRANTE;07.122.725/0001-00
ALZM11;ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.847.063/0001-08
ALZR11;ALIANZA TRUST RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;28.737.771/0001-85
ANCR11B;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC;07.789.135/0001-27
APTO11;NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.432.327/0001-82
APXM11;FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS;43.010.485/0001-07
AROA11;AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;44.674.528/0001-11
ARRI11;FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;32.006.821/0001-21
ARXD11;ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;44.527.494/0001-32
ASMT11;ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;38.293.921/0001-62
ASRF11;ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO;45.188.033/0001-45
ATCR11;HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.631.148/0001-39
ATSA11;HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO;12.809.972/0001-00
ATWN11;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO;27.773.327/0001-52
AURB11;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.823/0001-88
BARI11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII;29.267.567/0001-00
BBFI11B;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;07.000.400/0001-46
BBFO11;BB FUNDO DE FUNDOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.180.091/0001-02
BBIM11;BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;20.716.161/0001-93
